id,customer_id,user_id,relationship_role,is_primary_contact,valid_from,valid_to
50a2d1c4-d788-4498-a6f7-dd75d4db588f:account_owner:user-50a2d1c4-d788-4498-a6f7-dd75d4db588f,50a2d1c4-d788-4498-a6f7-dd75d4db588f,user-50a2d1c4-d788-4498-a6f7-dd75d4db588f,account_owner,true,2024-08-01T00:00:00,
438005c2-dd1d-48aa-8bfd-7fb06851b5f8:account_owner:user-438005c2-dd1d-48aa-8bfd-7fb06851b5f8,438005c2-dd1d-48aa-8bfd-7fb06851b5f8,user-438005c2-dd1d-48aa-8bfd-7fb06851b5f8,account_owner,true,2024-08-01T00:00:00,
5261268c-aa94-438a-921a-05efc0d414ac:account_owner:user-5261268c-aa94-438a-921a-05efc0d414ac,5261268c-aa94-438a-921a-05efc0d414ac,user-5261268c-aa94-438a-921a-05efc0d414ac,account_owner,true,2024-08-01T00:00:00,
f8486fce-bc07-4a4f-a6e9-ed6a06ba996c:account_owner:user-f8486fce-bc07-4a4f-a6e9-ed6a06ba996c,f8486fce-bc07-4a4f-a6e9-ed6a06ba996c,user-f8486fce-bc07-4a4f-a6e9-ed6a06ba996c,account_owner,true,2024-08-01T00:00:00,
341ed9b2-1760-4720-a1b1-42681d273c63:account_owner:user-341ed9b2-1760-4720-a1b1-42681d273c63,341ed9b2-1760-4720-a1b1-42681d273c63,user-341ed9b2-1760-4720-a1b1-42681d273c63,account_owner,true,2024-08-01T00:00:00,
2660b7ac-6c46-4392-8ddc-26194c532341:account_owner:user-2660b7ac-6c46-4392-8ddc-26194c532341,2660b7ac-6c46-4392-8ddc-26194c532341,user-2660b7ac-6c46-4392-8ddc-26194c532341,account_owner,true,2024-08-01T00:00:00,
7e52ce3f-191d-4d27-a0a8-76706fd6173c:account_owner:user-7e52ce3f-191d-4d27-a0a8-76706fd6173c,7e52ce3f-191d-4d27-a0a8-76706fd6173c,user-7e52ce3f-191d-4d27-a0a8-76706fd6173c,account_owner,true,2024-08-01T00:00:00,
0000bd8e-496c-42aa-9430-fea7f9bd6a96:account_owner:user-0000bd8e-496c-42aa-9430-fea7f9bd6a96,0000bd8e-496c-42aa-9430-fea7f9bd6a96,user-0000bd8e-496c-42aa-9430-fea7f9bd6a96,account_owner,true,2024-08-01T00:00:00,
3b47f466-5256-41a1-951c-efee13597676:account_owner:user-3b47f466-5256-41a1-951c-efee13597676,3b47f466-5256-41a1-951c-efee13597676,user-3b47f466-5256-41a1-951c-efee13597676,account_owner,true,2024-08-01T00:00:00,
2480125c-2d37-405c-96b9-ca32b2c75b33:account_owner:user-2480125c-2d37-405c-96b9-ca32b2c75b33,2480125c-2d37-405c-96b9-ca32b2c75b33,user-2480125c-2d37-405c-96b9-ca32b2c75b33,account_owner,true,2024-08-01T00:00:00,
69731d27-9caa-46cf-8933-d01e29b20043:account_owner:user-69731d27-9caa-46cf-8933-d01e29b20043,69731d27-9caa-46cf-8933-d01e29b20043,user-69731d27-9caa-46cf-8933-d01e29b20043,account_owner,true,2024-08-01T00:00:00,
