id,customer_id,address_id,address_usage,is_default_address,valid_from,valid_to
50a2d1c4-d788-4498-a6f7-dd75d4db588f:shipping:addr-50a2d1c4-d788-4498-a6f7-dd75d4db588f,50a2d1c4-d788-4498-a6f7-dd75d4db588f,addr-50a2d1c4-d788-4498-a6f7-dd75d4db588f,shipping,true,2024-08-01T00:00:00,
438005c2-dd1d-48aa-8bfd-7fb06851b5f8:shipping:addr-438005c2-dd1d-48aa-8bfd-7fb06851b5f8,438005c2-dd1d-48aa-8bfd-7fb06851b5f8,addr-438005c2-dd1d-48aa-8bfd-7fb06851b5f8,shipping,true,2024-08-01T00:00:00,
5261268c-aa94-438a-921a-05efc0d414ac:shipping:addr-5261268c-aa94-438a-921a-05efc0d414ac,5261268c-aa94-438a-921a-05efc0d414ac,addr-5261268c-aa94-438a-921a-05efc0d414ac,shipping,true,2024-08-01T00:00:00,
f8486fce-bc07-4a4f-a6e9-ed6a06ba996c:shipping:addr-f8486fce-bc07-4a4f-a6e9-ed6a06ba996c,f8486fce-bc07-4a4f-a6e9-ed6a06ba996c,addr-f8486fce-bc07-4a4f-a6e9-ed6a06ba996c,shipping,true,2024-08-01T00:00:00,
341ed9b2-1760-4720-a1b1-42681d273c63:shipping:addr-341ed9b2-1760-4720-a1b1-42681d273c63,341ed9b2-1760-4720-a1b1-42681d273c63,addr-341ed9b2-1760-4720-a1b1-42681d273c63,shipping,true,2024-08-01T00:00:00,
2660b7ac-6c46-4392-8ddc-26194c532341:shipping:addr-2660b7ac-6c46-4392-8ddc-26194c532341,2660b7ac-6c46-4392-8ddc-26194c532341,addr-2660b7ac-6c46-4392-8ddc-26194c532341,shipping,true,2024-08-01T00:00:00,
7e52ce3f-191d-4d27-a0a8-76706fd6173c:shipping:addr-7e52ce3f-191d-4d27-a0a8-76706fd6173c,7e52ce3f-191d-4d27-a0a8-76706fd6173c,addr-7e52ce3f-191d-4d27-a0a8-76706fd6173c,shipping,true,2024-08-01T00:00:00,
0000bd8e-496c-42aa-9430-fea7f9bd6a96:shipping:addr-0000bd8e-496c-42aa-9430-fea7f9bd6a96,0000bd8e-496c-42aa-9430-fea7f9bd6a96,addr-0000bd8e-496c-42aa-9430-fea7f9bd6a96,shipping,true,2024-08-01T00:00:00,
3b47f466-5256-41a1-951c-efee13597676:shipping:addr-3b47f466-5256-41a1-951c-efee13597676,3b47f466-5256-41a1-951c-efee13597676,addr-3b47f466-5256-41a1-951c-efee13597676,shipping,true,2024-08-01T00:00:00,
2480125c-2d37-405c-96b9-ca32b2c75b33:shipping:addr-2480125c-2d37-405c-96b9-ca32b2c75b33,2480125c-2d37-405c-96b9-ca32b2c75b33,addr-2480125c-2d37-405c-96b9-ca32b2c75b33,shipping,true,2024-08-01T00:00:00,
69731d27-9caa-46cf-8933-d01e29b20043:shipping:addr-69731d27-9caa-46cf-8933-d01e29b20043,69731d27-9caa-46cf-8933-d01e29b20043,addr-69731d27-9caa-46cf-8933-d01e29b20043,shipping,true,2024-08-01T00:00:00,
7d0a9ece-1d73-43ea-98e7-8bbe21e890ec:shipping:addr-7d0a9ece-1d73-43ea-98e7-8bbe21e890ec,7d0a9ece-1d73-43ea-98e7-8bbe21e890ec,addr-7d0a9ece-1d73-43ea-98e7-8bbe21e890ec,shipping,true,2024-08-01T00:00:00,
861181e6-5d97-48a8-bbe4-226caa976140:shipping:addr-861181e6-5d97-48a8-bbe4-226caa976140,861181e6-5d97-48a8-bbe4-226caa976140,addr-861181e6-5d97-48a8-bbe4-226caa976140,shipping,true,2024-08-01T00:00:00,
cc1816db-c3dd-4c16-8ea7-18fe313472b9:shipping:addr-cc1816db-c3dd-4c16-8ea7-18fe313472b9,cc1816db-c3dd-4c16-8ea7-18fe313472b9,addr-cc1816db-c3dd-4c16-8ea7-18fe313472b9,shipping,true,2024-08-01T00:00:00,
1bf35f99-4627-4c80-a5f8-0797538eaf54:shipping:addr-1bf35f99-4627-4c80-a5f8-0797538eaf54,1bf35f99-4627-4c80-a5f8-0797538eaf54,addr-1bf35f99-4627-4c80-a5f8-0797538eaf54,shipping,true,2024-08-01T00:00:00,
96f4e93c-c759-4fc7-b4a3-c8a153858bea:shipping:addr-96f4e93c-c759-4fc7-b4a3-c8a153858bea,96f4e93c-c759-4fc7-b4a3-c8a153858bea,addr-96f4e93c-c759-4fc7-b4a3-c8a153858bea,shipping,true,2024-08-01T00:00:00,
6faa20a4-1e8f-43a8-9a45-33ae5f675190:shipping:addr-6faa20a4-1e8f-43a8-9a45-33ae5f675190,6faa20a4-1e8f-43a8-9a45-33ae5f675190,addr-6faa20a4-1e8f-43a8-9a45-33ae5f675190,shipping,true,2024-08-01T00:00:00,
5bbca380-854e-47a4-ae5c-fd631650a115:shipping:addr-5bbca380-854e-47a4-ae5c-fd631650a115,5bbca380-854e-47a4-ae5c-fd631650a115,addr-5bbca380-854e-47a4-ae5c-fd631650a115,shipping,true,2024-08-01T00:00:00,
84ee8f13-e5a2-4988-8f65-daa65801c5d1:shipping:addr-84ee8f13-e5a2-4988-8f65-daa65801c5d1,84ee8f13-e5a2-4988-8f65-daa65801c5d1,addr-84ee8f13-e5a2-4988-8f65-daa65801c5d1,shipping,true,2024-08-01T00:00:00,
e4bced79-6e2c-4b22-a6d5-199ed87ca7ee:shipping:addr-e4bced79-6e2c-4b22-a6d5-199ed87ca7ee,e4bced79-6e2c-4b22-a6d5-199ed87ca7ee,addr-e4bced79-6e2c-4b22-a6d5-199ed87ca7ee,shipping,true,2024-08-01T00:00:00,
3f1fc492-e8ed-4840-97a0-a56592fdc1d9:shipping:addr-3f1fc492-e8ed-4840-97a0-a56592fdc1d9,3f1fc492-e8ed-4840-97a0-a56592fdc1d9,addr-3f1fc492-e8ed-4840-97a0-a56592fdc1d9,shipping,true,2024-08-01T00:00:00,
3483e39a-260f-4974-9366-50c2d833307f:shipping:addr-3483e39a-260f-4974-9366-50c2d833307f,3483e39a-260f-4974-9366-50c2d833307f,addr-3483e39a-260f-4974-9366-50c2d833307f,shipping,true,2024-08-01T00:00:00,
0b4a904c-b6d7-4355-b1ff-3744b3831112:shipping:addr-0b4a904c-b6d7-4355-b1ff-3744b3831112,0b4a904c-b6d7-4355-b1ff-3744b3831112,addr-0b4a904c-b6d7-4355-b1ff-3744b3831112,shipping,true,2024-08-01T00:00:00,
3c7a4cde-d92b-4d90-a731-9c0461ae8c90:shipping:addr-3c7a4cde-d92b-4d90-a731-9c0461ae8c90,3c7a4cde-d92b-4d90-a731-9c0461ae8c90,addr-3c7a4cde-d92b-4d90-a731-9c0461ae8c90,shipping,true,2024-08-01T00:00:00,
9ff834d1-4ca0-4dd5-bb53-ea96ad8611bb:shipping:addr-9ff834d1-4ca0-4dd5-bb53-ea96ad8611bb,9ff834d1-4ca0-4dd5-bb53-ea96ad8611bb,addr-9ff834d1-4ca0-4dd5-bb53-ea96ad8611bb,shipping,true,2024-08-01T00:00:00,
bbe9e834-7071-42d6-8970-aa7301b72ec2:shipping:addr-bbe9e834-7071-42d6-8970-aa7301b72ec2,bbe9e834-7071-42d6-8970-aa7301b72ec2,addr-bbe9e834-7071-42d6-8970-aa7301b72ec2,shipping,true,2024-08-01T00:00:00,
a311b0c8-1b63-4405-8097-09a984512389:shipping:addr-a311b0c8-1b63-4405-8097-09a984512389,a311b0c8-1b63-4405-8097-09a984512389,addr-a311b0c8-1b63-4405-8097-09a984512389,shipping,true,2024-08-01T00:00:00,
24ea0325-a7d6-4388-b86c-7b51e5805b26:shipping:addr-24ea0325-a7d6-4388-b86c-7b51e5805b26,24ea0325-a7d6-4388-b86c-7b51e5805b26,addr-24ea0325-a7d6-4388-b86c-7b51e5805b26,shipping,true,2024-08-01T00:00:00,
d6de888a-0aee-4f77-a7d4-daba8f0da415:shipping:addr-d6de888a-0aee-4f77-a7d4-daba8f0da415,d6de888a-0aee-4f77-a7d4-daba8f0da415,addr-d6de888a-0aee-4f77-a7d4-daba8f0da415,shipping,true,2024-08-01T00:00:00,
3f3af4f6-a87b-4f03-8669-2e1a8e3c6d8b:shipping:addr-3f3af4f6-a87b-4f03-8669-2e1a8e3c6d8b,3f3af4f6-a87b-4f03-8669-2e1a8e3c6d8b,addr-3f3af4f6-a87b-4f03-8669-2e1a8e3c6d8b,shipping,true,2024-08-01T00:00:00,
5ed25035-4723-4154-823d-a8c8b4c02e51:shipping:addr-5ed25035-4723-4154-823d-a8c8b4c02e51,5ed25035-4723-4154-823d-a8c8b4c02e51,addr-5ed25035-4723-4154-823d-a8c8b4c02e51,shipping,true,2024-08-01T00:00:00,
531465bc-638f-4adb-9b47-cf0c1dc55550:shipping:addr-531465bc-638f-4adb-9b47-cf0c1dc55550,531465bc-638f-4adb-9b47-cf0c1dc55550,addr-531465bc-638f-4adb-9b47-cf0c1dc55550,shipping,true,2024-08-01T00:00:00,
d47a83f3-a765-4a20-b40c-e0993cf00e4f:shipping:addr-d47a83f3-a765-4a20-b40c-e0993cf00e4f,d47a83f3-a765-4a20-b40c-e0993cf00e4f,addr-d47a83f3-a765-4a20-b40c-e0993cf00e4f,shipping,true,2024-08-01T00:00:00,
4b8b181e-668e-45d4-a8e3-7180a41cf064:shipping:addr-4b8b181e-668e-45d4-a8e3-7180a41cf064,4b8b181e-668e-45d4-a8e3-7180a41cf064,addr-4b8b181e-668e-45d4-a8e3-7180a41cf064,shipping,true,2024-08-01T00:00:00,
6d91807a-84e4-47c1-8e47-925d52e0dd48:shipping:addr-6d91807a-84e4-47c1-8e47-925d52e0dd48,6d91807a-84e4-47c1-8e47-925d52e0dd48,addr-6d91807a-84e4-47c1-8e47-925d52e0dd48,shipping,true,2024-08-01T00:00:00,
848485f0-198f-4efa-8335-707db71a7434:shipping:addr-848485f0-198f-4efa-8335-707db71a7434,848485f0-198f-4efa-8335-707db71a7434,addr-848485f0-198f-4efa-8335-707db71a7434,shipping,true,2024-08-01T00:00:00,
